3.416140231960963503e-01,8.620148358560478785e-01
5.801101743570311609e-01,8.667352175244233958e-01
2.894482717392254378e-01,7.035330843461015116e-01
6.365912158182299718e-01,7.087099184563309118e-01
2.532873996764229974e-01,4.863251782334352402e-01
6.726133368167780402e-01,4.886592141259575861e-01
2.906391916978073864e-01,2.710247800315340738e-01
6.379436760067874745e-01,2.716747305745533803e-01
3.559701422336241095e-01,1.225110843464949639e-01
5.654323189090894042e-01,1.236027500461348849e-01
1.815949227507060448e-01,6.909481123063635488e-01
7.514646920414248532e-01,7.006014213583980910e-01
1.416915354246438552e-01,4.592891481798997422e-01
7.824622688369263779e-01,4.631747023983988631e-01
1.953833703603354288e-01,2.511048720414671420e-01
7.269573494396673885e-01,2.524377048614199204e-01
4.608510680293824713e-01,7.155744539625571443e-01
4.610508421986283523e-01,4.994867605563735324e-01
4.608765504870540042e-01,2.761303426729272426e-01
